City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,burgeo,CA,47.6167,-57.6152,67.82,98,100,5.86,overcast clouds
221,swan river,CA,52.1058,-101.2676,67.89,49,100,6.91,overcast clouds
222,krasnoarmeysk,RU,51.0239,45.6969,86.16,22,100,10.04,overcast clouds
223,sibolga,ID,1.7427,98.7792,77.68,89,100,2.93,moderate rain
224,longyearbyen,SJ,78.2186,15.6401,40.84,70,75,14.97,broken clouds
225,tocopilla,CL,-22.092,-70.1979,64.98,64,2,9.78,clear sky
226,clyde river,CA,70.4692,-68.5914,43.03,93,75,0.0,broken clouds
227,da nang,VN,16.0678,108.2208,85.98,70,20,6.91,few clouds
228,halmstad,SE,56.6745,12.8568,70.14,66,40,13.8,scattered clouds
229,consett,GB,54.854,-1.8316,58.24,92,100,5.32,overcast clouds
230,quirinopolis,BR,-18.4483,-50.4517,86.41,22,5,6.6,clear sky
231,yellowknife,CA,62.456,-114.3525,54.12,100,40,8.05,scattered clouds
232,preobrazheniye,RU,42.9019,133.9064,59.63,85,4,3.42,clear sky
233,namatanai,PG,-3.6667,152.4333,79.39,83,58,6.78,light rain
234,bam,IR,29.106,58.357,96.96,9,3,15.32,clear sky
235,mehamn,NO,71.0357,27.8492,47.46,81,100,12.93,overcast clouds
236,esperance,AU,-33.8667,121.9,52.54,81,0,7.76,clear sky
237,tuatapere,NZ,-46.1333,167.6833,48.81,86,83,8.63,broken clouds
238,prince rupert,CA,54.3161,-130.3201,59.09,97,90,8.05,moderate rain
239,erenhot,CN,43.6475,111.9767,77.94,37,15,12.01,few clouds
240,jiexiu,CN,37.0244,111.9125,72.84,64,62,3.56,broken clouds
241,praia da vitoria,PT,38.7333,-27.0667,75.76,83,75,8.28,broken clouds
242,kavieng,PG,-2.5744,150.7967,81.75,80,100,9.91,light rain
243,nuuk,GL,64.1835,-51.7216,47.01,100,90,3.44,fog
244,salinopolis,BR,-0.6136,-47.3561,84.81,66,36,6.6,scattered clouds
245,bardiyah,LY,31.7561,25.0865,83.75,51,0,12.1,clear sky
246,airai,TL,-8.9266,125.4092,57.74,90,62,3.76,broken clouds
247,mandalgovi,MN,45.7625,106.2708,68.54,50,69,12.57,broken clouds
248,fort nelson,CA,58.8053,-122.7002,56.79,82,90,5.75,overcast clouds
249,hithadhoo,MV,-0.6,73.0833,83.66,68,55,14.47,broken clouds
250,marshfield,US,44.6689,-90.1718,70.02,72,1,5.75,clear sky
251,mujiayingzi,CN,42.1167,118.7833,64.8,93,100,3.38,overcast clouds
252,victoria,HK,22.2855,114.1577,82.96,89,31,6.98,light rain
