City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,havelock,US,87.75,few clouds,34.8791,-76.9013,Sherwood Motel
74,ingham,US,71.26,clear sky,42.6,-84.3833,Sunset Place
75,albany,US,72.81,broken clouds,42.6001,-73.9662,
76,puerto ayora,EC,71.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
79,atuona,PF,77.7,clear sky,-9.8,-139.0333,Villa Enata
80,bambous virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
81,wuan,CN,74.39,scattered clouds,31.6836,112.0044,武镇大酒店
83,georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
85,hambantota,LK,82.74,broken clouds,6.1241,81.1185,Bungalow 63
86,santa isabel do rio negro,BR,82.71,overcast clouds,-0.4139,-65.0192,Hotel GSA
87,bethel,US,75.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
88,kampene,CD,93.24,scattered clouds,-3.6,26.6667,
90,kovur,IN,84.04,overcast clouds,14.4833,79.9833,Hotel Yesh Park
92,port hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
94,madison heights,US,73.15,clear sky,42.4859,-83.1052,Red Roof Inn Detroit - Warren
98,fare,PF,78.33,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
100,ternate,ID,80.22,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
101,djibo,BF,91.22,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
102,rabo de peixe,PT,74.71,few clouds,37.8,-25.5833,Quinta das Giestas
103,margate,GB,74.7,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
104,horqueta,PY,80.29,clear sky,-23.3428,-57.0597,Hospedaje Heina
105,waw,SS,81.39,light rain,7.7029,27.9953,Universal Gab Hotel
108,grand gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
109,sinnamary,GF,76.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
110,den helder,NL,76.98,broken clouds,52.9599,4.7593,Hotel Den Helder
111,lagdo,CM,88.92,scattered clouds,9.05,13.7333,
114,phan thiet,VN,78.69,clear sky,10.9333,108.1,Hotel Saigon-PT
115,waingapu,ID,77.2,clear sky,-9.6567,120.2641,Pondok Wisata Elim
118,springdale,US,75.9,clear sky,36.1867,-94.1288,Springdale Inn
121,puerto leguizamo,CO,74.35,overcast clouds,-0.1934,-74.7819,la casona de juancho
124,touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
125,saint george,US,83.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
127,luganville,VU,74.35,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
128,cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
130,mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
142,tual,ID,80.13,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
145,havre,FR,74.48,overcast clouds,49.5833,0.3333,gite bois jourdain
146,nioro,GM,83.55,overcast clouds,13.35,-15.75,
149,namibe,AO,75.45,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
151,odienne,CI,76.8,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
154,port elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
157,progreso,MX,87.12,few clouds,21.2833,-89.6667,Playa Linda Hotel
158,marsh harbour,BS,83.26,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
159,nouadhibou,MR,84.18,broken clouds,20.931,-17.0347,El Medina
161,itirapina,BR,75.13,clear sky,-22.2528,-47.8228,Pousada Paraiso das Aguas
163,port blair,IN,79.92,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
164,cabo san lucas,MX,85.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,sola,VU,77.43,overcast clouds,-13.8833,167.55,Leumerus Bungalows
169,tucurui,BR,92.3,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
171,puerto carreno,CO,73.87,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
173,neiva,CO,78.53,overcast clouds,2.9273,-75.2819,Hotel Matamundo
175,palmer,US,75.02,broken clouds,42.1584,-72.3287,Wedgewood Motel
176,alto araguaia,BR,90.63,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
177,kalininsk,RU,85.21,overcast clouds,51.5,44.4758,Guest House on Chekhova
179,mangrol,IN,81.63,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
181,sulangan,PH,84.61,overcast clouds,11.1373,123.7228,Maia's Beach Resort
182,moorhead,US,71.98,few clouds,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
184,danshui,CN,82.65,broken clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
185,katobu,ID,74.43,few clouds,-4.9408,122.5276,La Ode Husein
188,ponta do sol,PT,86.13,overcast clouds,32.6667,-17.1,Hotel do Campo
193,zhezkazgan,KZ,75.88,clear sky,47.8043,67.7144,Hotel Zumrat
194,asau,RO,89.4,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
